SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,160 27th St,San Francisco,CA,94110,4650000,4,3.5,San Francisco,3500,2850,1900,1,1329,,Active,September-12-2021 02:00 PM,September-12-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/160-27th-St-94110/home/1793188,San Francisco MLS,421593988,N,Y,37.7472449,-122.4238422
MLS Listing,,Condo/Co-op,249 Shipley St #2,San Francisco,CA,94107,768000,1,1.5,San Francisco,892,5591,1999,1,861,754,Active,September-12-2021 02:30 PM,September-12-2021 04:30 PM,http://www.redfin.com/CA/San-Francisco/249-Shipley-94107/unit-2/home/12396891,San Francisco MLS,421593818,N,Y,37.7788907,-122.40378
MLS Listing,,Single Family Residential,669 Marina Blvd,San Francisco,CA,94123,8998000,5,5.0,San Francisco,4752,4944,1931,1,1894,,Active,September-12-2021 01:30 PM,September-12-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/669-Marina-Blvd-94123/home/582205,San Francisco MLS,421593475,N,Y,37.8052133,-122.4449164
MLS Listing,,Condo/Co-op,270 Henry St #201,San Francisco,CA,94114,1488000,2,2.0,San Francisco,1084,4428,1996,1,1373,495,Active,September-12-2021 02:00 PM,September-12-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/270-Henry-St-94114/unit-201/home/148060203,San Francisco MLS,421593414,N,Y,37.7666438,-122.4370234
MLS Listing,,Condo/Co-op,1816 23rd St,San Francisco,CA,94107,899000,2,1.0,San Francisco,1134,6825,1988,2,793,600,Active,September-12-2021 02:00 PM,September-12-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/1816-23rd-St-94107/home/1874262,San Francisco MLS,421591828,N,Y,37.7549818,-122.3980981
MLS Listing,,Condo/Co-op,2831 Polk St #1,San Francisco,CA,94109,2250000,2,2.5,San Francisco,,,1924,2,,538,Active,September-11-2021 03:00 PM,September-11-2021 05:00 PM,http://www.redfin.com/CA/San-Francisco/2831-Polk-St-94109/unit-1/home/39591886,San Francisco MLS,421592728,N,Y,37.8028958,-122.4234306
MLS Listing,,Single Family Residential,2400 Pacheco St,SAN FRANCISCO,CA,94116,1195000,2,1.5,SAN FRANCISCO,1200,2060,1949,3,996,,Active,September-12-2021 01:00 PM,September-12-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/2400-Pacheco-St-94116/home/943553,MLSListings,ML81861647,N,Y,37.7502325,-122.4861305
MLS Listing,,Single Family Residential,542 27th Ave,SAN FRANCISCO,CA,94121,2995000,3,4.0,SAN FRANCISCO,3810,2400,1999,4,786,,Active,September-12-2021 01:00 PM,September-12-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/542-27th-Ave-94121/home/2007755,MLSListings,ML81861532,N,Y,37.7791442,-122.4865593
MLS Listing,,Condo/Co-op,461 2nd St Unit C118,San Francisco,CA,94107,750000,1,1.0,San Francisco,672,56167,1907,4,1116,651,Active,September-11-2021 02:30 PM,September-11-2021 04:30 PM,http://www.redfin.com/CA/San-Francisco/461-2nd-St-94107/unit-C118/home/1203053,San Francisco MLS,421589274,N,Y,37.783797,-122.3937191
MLS Listing,,Condo/Co-op,1688 Pine St Unit W404,San Francisco,CA,94109,799000,1,1.0,San Francisco,694,35482,2016,5,1151,689,Active,September-12-2021 02:00 PM,September-12-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/1688-Pine-St-94109/unit-W404/home/109079509,San Francisco MLS,421591931,N,Y,37.789363121,-122.4233618
